Id,SalePrice
1,187270.05942368123
2,475357.1532049581
3,365996.97090570256
4,299329.2420985183
5,78009.32022121827
6,77997.26016810132
7,29041.80608409973
8,433088.07288746757
9,300557.50587160443
10,354036.2888980227
11,10292.247147901224
12,484954.92608099716
13,416221.32040021085
14,106169.55533913808
15,90912.48360355031
16,91702.25492671691
17,152121.12147976886
18,262378.2158161189
19,215972.50932105788
20,145614.57009902096
21,305926.44736118976
22,69746.93032602091
23,146072.32426760907
24,183180.92164684585
25,228034.99210851797
26,392587.9806965068
27,99836.89107917987
28,257117.2192068058
29,296207.28443102125
30,23225.20635999886
31,303772.42595071916
32,85262.06184364576
33,32525.796492639758
34,474442.7686266666
35,482816.0165372797
36,404198.6740582306
37,152306.88458668534
38,48836.057003191934
39,342116.51325607847
40,220076.24686980064
41,61019.11742238941
42,247588.4550556351
43,17194.2605576092
44,454660.20103939105
45,129389.99080000845
46,331261.142176991
47,155855.53804470546
48,260034.0105889054
49,273355.13967163983
50,92427.22776276352
51,484792.31388227927
52,387566.4116805573
53,469749.4707820946
54,447413.67521382443
55,298949.98940554255
56,460937.1175115584
57,44246.25102595975
58,97991.4312095726
59,22613.644455269034
60,162665.16538163216
61,194338.644844741
62,135674.51588694795
63,414368.75457596465
64,178376.66334679464
65,140467.25484369037
66,271348.0415791242
67,70462.11248738132
68,401098.49037701986
69,37275.32183988541
70,493443.4683002586
71,386122.3846483287
72,99357.8407670862
73,2761.0585618011996
74,407730.7142274171
75,353428.6719238086
76,364503.58402049367
77,385635.1733429729
78,37022.32586704518
79,179232.8642721363
80,57934.52976256486
81,431551.7129377968
82,311649.06341377896
83,165449.0124263246
84,31779.175143011817
85,155491.1608578311
86,162591.66101337352
87,364803.08916903206
88,318778.73567760654
89,443606.3712881633
90,236107.46258097465
91,59797.12296915085
92,356622.3936114975
93,380392.5243084487
94,280638.5987847481
95,385483.58997728047
96,246897.79818219537
97,261366.41469099701
98,213770.5091792748
99,12709.563372047594
100,53945.71349665223
101,15714.592843367125
102,318205.2056318902
103,157177.99053816334
104,254285.34558235138
